hrg_code,daycase_unit_cost,inpatient_unit_cost
AA22A,514.33,966.09
AA25A,638.57,670.12
AA25B,443.59,848.02
AA26A,689.04,601.42
AA26B,573.5,554.83
AA27A,1339.79,1966.19
AA29A,463.69,563.73
AA31A,461.42,581.58
BZ01Z,1082.56,1542.79
BZ02Z,851.18,1382.43
BZ07A,687.87,705.35
BZ24C,346.49,463.23
CZ12V,742.77,773.57
CZ13V,1193.05,1066.18
CZ15N,1144.72,2688.67
CZ21V,422.63,436.27
CZ22W,410.07,735.25
CZ22X,380.8,670.49
CZ23X,333.16,717.37
CZ36Y,530.98,1601.42
DZ06Z,606.68,884.03
DZ09A,374.57,1119.25
DZ11A,438.43,1009.01
DZ11B,441.05,905.06
DZ12A,469.15,1571.51
DZ15E,494.09,737.84
DZ17A,402.89,1421.73
DZ19A,480.69,585.79
DZ19B,506.21,594.13
DZ21A,476.14,426.86
DZ21H,2009.24,1064.52
DZ22A,426.8,864.83
DZ22B,703.87,701.57
DZ24A,562.78,1265.63
DZ24B,1186.81,976.0
DZ25A,606.12,1097.56
DZ26A,597.52,1116.47
DZ37A,707.2,659.9
EA36A,1058.95,1606.73
EA40Z,1120.29,3749.31
EA49Z,2719.27,2029.66
EB01Z,725.23,517.14
EB03H,548.96,1198.32
EB03I,603.37,859.66
EB05Z,278.26,696.36
EB06Z,896.68,1302.49
EB07H,841.65,737.8
EB07I,833.6,640.13
EB08H,483.75,580.69
EB08I,548.83,451.03
EB10Z,688.01,953.44
FZ31F,363.28,437.55
FZ33E,318.51,597.16
FZ36F,390.93,444.04
FZ37F,365.22,455.7
FZ38F,312.16,459.28
FZ39F,566.62,509.86
FZ41F,367.72,446.18
FZ43C,398.51,426.37
FZ45C,369.61,478.46
FZ46C,348.3,675.22
FZ47C,397.25,480.83
FZ49C,344.29,514.89
FZ60Z,431.31,511.46
FZ61Z,453.45,530.76
FZ70Z,506.79,689.12
GB06D,756.39,906.03
GC16B,558.84,1371.45
GC16C,457.58,1205.23
HA12B,2749.97,4342.56
HA12C,1231.06,3933.37
HA13A,8233.39,4743.76
HA81A,395.33,777.1
HA81B,620.04,561.94
HA81C,544.91,506.78
HA91Z,505.31,1716.31
HA92Z,446.74,927.75
HA93Z,655.72,682.78
HA95Z,788.13,503.8
HB29Z,635.03,914.11
HC20B,468.29,1463.45
HC27B,629.89,897.35
HC27C,599.37,690.18
HC32B,437.53,692.41
HC32C,456.53,600.81
HD21A,396.33,632.12
HD21B,470.82,442.43
HD23B,447.9,869.41
HD24A,416.67,1412.32
HD24B,384.37,892.53
HD26A,456.75,842.31
HD26B,556.41,517.49
HD39A,354.85,1805.83
JA24A,1249.09,1533.82
JB21B,688.46,809.13
JC17Z,1086.14,1500.47
JD01A,374.66,1220.41
JD03A,575.64,1039.74
JD03B,401.04,857.61
JD04A,429.27,1048.03
JD06A,458.73,826.61
KA06A,626.82,992.91
KA07Z,426.7,656.13
KA08Z,564.43,671.09
KB01A,332.56,618.28
KB02A,440.26,1025.76
KB02B,427.93,742.88
KB03B,434.24,900.88
KC05A,438.42,1061.09
KC05B,338.06,702.73
LA04E,381.32,1157.22
LA04G,400.31,453.79
LA07E,338.1,1131.12
LA07G,347.55,871.18
LB15E,365.4,566.62
LB16A,426.93,1011.86
LB16C,312.07,687.47
LB18Z,352.42,654.02
LB25B,1286.03,2114.33
LB38B,355.6,821.88
LB58A,268.38,759.07
LB72A,395.33,1078.86
QZ04Z,1907.95,2779.01
QZ11A,1200.35,5205.82
QZ13A,1158.2,1576.66
QZ16B,898.85,1190.55
QZ17A,336.49,1664.13
QZ17B,600.1,1053.22
QZ20Z,131.74,608.85
SA04D,372.16,736.63
SA04F,313.07,597.13
SA07D,353.53,1199.94
SA09D,306.04,765.67
SA13A,476.08,713.01
SA33Z,510.6,1025.41
VA10A,869.68,588.08
VA10B,686.47,857.8
VA10C,447.02,1255.33
VA10D,4284.35,2110.0
WA03V,1042.87,1185.63
WA09W,535.37,946.41
WA11X,431.17,432.35
WA12V,674.35,1348.29
WA14A,383.65,704.52
WA14B,387.17,711.07
WA18V,515.46,611.79
WA18X,425.75,593.44
WA19W,376.89,654.28
WA20Y,380.22,464.85
WA22V,428.3,1103.34
WA22X,355.67,919.7
WA23V,578.19,584.49
WA23X,571.24,593.01
