tfc_code,attendance_type,unit_cost
100,ON,195.83
100,OF,173.68
101,ON,178.23
101,OF,161.74
103,ON,242.57
103,OF,198.15
104,ON,197.19
104,OF,151.12
106,ON,215.16
106,OF,172.97
107,ON,214.34
107,OF,178.71
120,ON,181.3
120,OF,157.39
130,ON,173.9
130,OF,146.0
141,ON,385.99
141,OF,278.66
144,ON,218.5
144,OF,178.34
160,ON,177.48
160,OF,160.23
180,ON,147.46
180,OF,136.09
190,ON,184.42
190,OF,154.79
191,ON,284.69
191,OF,215.66
253,ON,478.2
253,OF,347.9
261,ON,1075.62
261,OF,660.19
300,ON,224.86
300,OF,157.9
301,ON,236.16
301,OF,190.0
302,ON,308.53
302,OF,215.72
303,ON,306.13
303,OF,200.46
306,ON,224.67
306,OF,183.18
307,ON,296.4
307,OF,223.56
310,ON,233.45
310,OF,188.89
315,ON,361.29
315,OF,279.52
320,ON,190.16
320,OF,171.73
324,ON,65.73
324,OF,74.68
328,ON,304.43
328,OF,294.06
329,ON,320.7
329,OF,248.29
330,ON,181.16
330,OF,168.33
340,ON,259.31
340,OF,197.04
350,ON,359.45
350,OF,288.24
361,ON,296.58
361,OF,221.23
400,ON,299.64
400,OF,228.63
410,ON,297.53
410,OF,192.17
430,ON,483.4
430,OF,325.11
502,ON,234.83
502,OF,199.0
650,ON,127.41
650,OF,103.69
658,ON,202.15
658,OF,174.83
710,ON,549.31
710,OF,421.37
715,ON,346.68
715,OF,349.23
800,ON,234.2
800,OF,149.65
812,ON,44.74
812,OF,80.77
