"threshold","prob_cost_effective"
0,0.005
1000,0.0055
2000,0.0055
3000,0.006
4000,0.006
5000,0.006
6000,0.007
7000,0.007
8000,0.007
9000,0.008
10000,0.0095
11000,0.01
12000,0.01
13000,0.0115
14000,0.012
15000,0.0125
16000,0.0125
17000,0.013
18000,0.0145
19000,0.0145
20000,0.0155
21000,0.017
22000,0.017
23000,0.017
24000,0.0185
25000,0.0185
26000,0.02
27000,0.021
28000,0.022
29000,0.023
30000,0.024
31000,0.0245
32000,0.026
33000,0.0265
34000,0.027
35000,0.031
36000,0.034
37000,0.0355
38000,0.0365
39000,0.0395
40000,0.0405
41000,0.042
42000,0.044
43000,0.0445
44000,0.0475
45000,0.049
46000,0.051
47000,0.055
48000,0.0585
49000,0.06
50000,0.061
